num__Pclass,num__Age,num__SibSp,num__Parch,num__Fare,cat__Sex_female,cat__Sex_male,cat__Embarked_C,cat__Embarked_Q,cat__Embarked_S,Survived
0.827377244,-0.5924806,0.432793366,-0.473673609,-0.502445171,0,1,0,0,1,0
-1.566106926,0.638789012,0.432793366,-0.473673609,0.786845294,1,0,1,0,0,1
0.827377244,-0.284663197,-0.474545196,-0.473673609,-0.488854258,1,0,0,0,1,1
-1.566106926,0.40792596,0.432793366,-0.473673609,0.420730236,1,0,0,0,1,1
0.827377244,0.40792596,-0.474545196,-0.473673609,-0.486337422,0,1,0,0,1,0
0.827377244,0,-0.474545196,-0.473673609,-0.478116429,0,1,0,1,0,0
-1.566106926,1.870058624,-0.474545196,-0.473673609,0.395813561,0,1,0,0,1,0
0.827377244,-2.131567615,2.24747049,0.767629879,-0.224083121,0,1,0,0,1,0
0.827377244,-0.207708846,-0.474545196,2.008933366,-0.424256141,1,0,0,0,1,1
-0.369364841,-1.208115406,0.432793366,-0.473673609,-0.042955502,1,0,1,0,0,1
0.827377244,-1.977658913,0.432793366,0.767629879,-0.312172378,1,0,0,0,1,1
-1.566106926,2.177876027,-0.474545196,-0.473673609,-0.113845709,1,0,0,0,1,1
0.827377244,-0.746389301,-0.474545196,-0.473673609,-0.486337422,0,1,0,0,1,0
0.827377244,0.715743363,0.432793366,5.73284383,-0.018709312,0,1,0,0,1,0
0.827377244,-1.208115406,-0.474545196,-0.473673609,-0.490279793,1,0,0,0,1,0
-0.369364841,1.947012975,-0.474545196,-0.473673609,-0.326266659,1,0,0,0,1,1
0.827377244,-2.131567615,3.154809051,0.767629879,-0.061998889,0,1,0,1,0,0
-0.369364841,0,-0.474545196,-0.473673609,-0.38667072,0,1,0,0,1,1
0.827377244,0.100108557,0.432793366,-0.473673609,-0.285997284,1,0,0,0,1,0
0.827377244,0,-0.474545196,-0.473673609,-0.502948539,1,0,1,0,0,1
-0.369364841,0.40792596,-0.474545196,-0.473673609,-0.124919787,0,1,0,0,1,0
-0.369364841,0.330971609,-0.474545196,-0.473673609,-0.38667072,0,1,0,0,1,1
0.827377244,-1.131161055,-0.474545196,-0.473673609,-0.486756223,1,0,0,1,0,1
-1.566106926,-0.130754495,-0.474545196,-0.473673609,0.066359742,0,1,0,0,1,1
